"seuil","prob_pct"
2.46680501125001,1.72
2.46738506801569,1.719
2.46796512478138,1.714
2.46854518154706,1.712
2.46912523831274,1.709
2.46970529507843,1.708
2.47028535184411,1.705
2.4708654086098,1.704
2.47144546537548,1.701
2.47202552214116,1.696
2.47260557890685,1.694
2.47318563567253,1.69
2.47376569243821,1.687
2.4743457492039,1.683
2.47492580596958,1.68
2.47550586273526,1.675
2.47608591950095,1.672
2.47666597626663,1.671
2.47724603303231,1.667
2.477826089798,1.662
2.47840614656368,1.658
2.47898620332936,1.653
2.47956626009505,1.651
2.48014631686073,1.649
2.48072637362641,1.645
2.4813064303921,1.642
2.48188648715778,1.64
2.48246654392347,1.637
2.48304660068915,1.636
2.48362665745483,1.633
2.48420671422052,1.631
2.4847867709862,1.626
2.48536682775188,1.625
2.48594688451757,1.623
2.48652694128325,1.62
2.48710699804893,1.616
2.48768705481462,1.614
2.4882671115803,1.613
2.48884716834598,1.612
2.48942722511167,1.609
2.49000728187735,1.608
2.49058733864303,1.608
2.49116739540872,1.606
2.4917474521744,1.602
2.49232750894009,1.6
2.49290756570577,1.597
2.49348762247145,1.597
2.49406767923714,1.596
2.49464773600282,1.592
2.4952277927685,1.59
2.49580784953419,1.587
2.49638790629987,1.584
2.49696796306555,1.583
2.49754801983124,1.579
2.49812807659692,1.576
2.4987081333626,1.575
2.49928819012829,1.573
2.49986824689397,1.57
2.50044830365965,1.567
2.50102836042534,1.563
2.50160841719102,1.563
2.5021884739567,1.563
2.50276853072239,1.562
2.50334858748807,1.558
2.50392864425376,1.555
2.50450870101944,1.554
2.50508875778512,1.551
2.50566881455081,1.549
2.50624887131649,1.549
2.50682892808217,1.548
2.50740898484786,1.548
2.50798904161354,1.545
2.50856909837922,1.544
2.50914915514491,1.543
2.50972921191059,1.54
2.51030926867627,1.536
2.51088932544196,1.533
2.51146938220764,1.533
2.51204943897332,1.531
2.51262949573901,1.531
2.51320955250469,1.527
2.51378960927038,1.523
2.51436966603606,1.521
2.51494972280174,1.521
2.51552977956743,1.52
2.51610983633311,1.517
2.51668989309879,1.515
2.51726994986448,1.514
2.51785000663016,1.511
2.51843006339584,1.51
2.51901012016153,1.506
2.51959017692721,1.503
2.52017023369289,1.502
2.52075029045858,1.5
2.52133034722426,1.497
2.52191040398994,1.496
2.52249046075563,1.493
2.52307051752131,1.488
2.523650574287,1.485
2.52423063105268,1.484
2.52481068781836,1.481
2.52539074458405,1.478
2.52597080134973,1.477
2.52655085811541,1.474
2.5271309148811,1.472
2.52771097164678,1.47
2.52829102841246,1.467
2.52887108517815,1.461
2.52945114194383,1.457
2.53003119870951,1.455
2.5306112554752,1.453
2.53119131224088,1.45
2.53177136900656,1.444
2.53235142577225,1.439
2.53293148253793,1.436
2.53351153930361,1.433
2.5340915960693,1.427
2.53467165283498,1.425
2.53525170960067,1.424
2.53583176636635,1.423
2.53641182313203,1.42
2.53699187989772,1.417
2.5375719366634,1.415
2.53815199342908,1.415
2.53873205019477,1.413
2.53931210696045,1.412
2.53989216372613,1.408
2.54047222049182,1.406
2.5410522772575,1.405
2.54163233402318,1.403
2.54221239078887,1.399
2.54279244755455,1.398
2.54337250432023,1.396
2.54395256108592,1.394
2.5445326178516,1.391
2.54511267461729,1.389
2.54569273138297,1.388
2.54627278814865,1.385
2.54685284491434,1.383
2.54743290168002,1.381
2.5480129584457,1.378
2.54859301521139,1.374
2.54917307197707,1.372
2.54975312874275,1.368
2.55033318550844,1.368
2.55091324227412,1.364
2.5514932990398,1.361
2.55207335580549,1.361
2.55265341257117,1.359
2.55323346933685,1.357
2.55381352610254,1.355
2.55439358286822,1.353
2.5549736396339,1.351
2.55555369639959,1.349
2.55613375316527,1.348
2.55671380993096,1.347
2.55729386669664,1.344
2.55787392346232,1.343
2.55845398022801,1.34
2.55903403699369,1.338
2.55961409375937,1.338
2.56019415052506,1.336
2.56077420729074,1.331
2.56135426405642,1.328
2.56193432082211,1.327
2.56251437758779,1.325
2.56309443435347,1.322
2.56367449111916,1.319
2.56425454788484,1.314
2.56483460465052,1.311
2.56541466141621,1.308
2.56599471818189,1.305
2.56657477494758,1.304
2.56715483171326,1.302
2.56773488847894,1.301
2.56831494524463,1.299
2.56889500201031,1.297
2.56947505877599,1.293
2.57005511554168,1.291
2.57063517230736,1.286
2.57121522907304,1.284
2.57179528583873,1.284
2.57237534260441,1.279
2.57295539937009,1.278
2.57353545613578,1.273
2.57411551290146,1.269
2.57469556966714,1.264
2.57527562643283,1.263
2.57585568319851,1.261
2.57643573996419,1.259
2.57701579672988,1.255
2.57759585349556,1.251
2.57817591026125,1.25
2.57875596702693,1.247
2.57933602379261,1.245
2.5799160805583,1.243
2.58049613732398,1.241
2.58107619408966,1.24
2.58165625085535,1.239
2.58223630762103,1.239
2.58281636438671,1.237
2.5833964211524,1.235
2.58397647791808,1.235
2.58455653468376,1.233
2.58513659144945,1.23
2.58571664821513,1.23
2.58629670498081,1.228
2.5868767617465,1.226
2.58745681851218,1.224
2.58803687527787,1.215
2.58861693204355,1.214
2.58919698880923,1.212
2.58977704557492,1.211
2.5903571023406,1.21
2.59093715910628,1.21
2.59151721587197,1.209
2.59209727263765,1.207
2.59267732940333,1.206
2.59325738616902,1.205
2.5938374429347,1.204
2.59441749970038,1.202
2.59499755646607,1.2
2.59557761323175,1.2
2.59615766999743,1.197
2.59673772676312,1.195
2.5973177835288,1.194
2.59789784029448,1.194
2.59847789706017,1.194
2.59905795382585,1.192
2.59963801059154,1.191
2.60021806735722,1.189
2.6007981241229,1.188
2.60137818088859,1.187
2.60195823765427,1.187
2.60253829441995,1.184
2.60311835118564,1.183
2.60369840795132,1.182
2.604278464717,1.181
2.60485852148269,1.179
2.60543857824837,1.179
2.60601863501405,1.176
2.60659869177974,1.175
2.60717874854542,1.17
2.6077588053111,1.167
2.60833886207679,1.165
2.60891891884247,1.165
2.60949897560816,1.161
2.61007903237384,1.16
2.61065908913952,1.157
2.61123914590521,1.153
2.61181920267089,1.152
2.61239925943657,1.148
2.61297931620226,1.148
2.61355937296794,1.147
2.61413942973362,1.146
2.61471948649931,1.143
2.61529954326499,1.141
2.61587960003067,1.138
2.61645965679636,1.133
2.61703971356204,1.132
2.61761977032772,1.132
2.61819982709341,1.131
2.61877988385909,1.128
2.61935994062477,1.126
2.61993999739046,1.126
2.62052005415614,1.125
2.62110011092183,1.123
2.62168016768751,1.122
2.62226022445319,1.12
2.62284028121888,1.118
2.62342033798456,1.116
2.62400039475024,1.113
2.62458045151593,1.112
2.62516050828161,1.108
2.62574056504729,1.104
2.62632062181298,1.103
2.62690067857866,1.102
2.62748073534434,1.1
2.62806079211003,1.098
2.62864084887571,1.097
2.62922090564139,1.095
2.62980096240708,1.092
2.63038101917276,1.091
2.63096107593844,1.09
2.63154113270413,1.087
2.63212118946981,1.086
2.6327012462355,1.082
2.63328130300118,1.08
2.63386135976686,1.076
2.63444141653255,1.075
2.63502147329823,1.073
2.63560153006391,1.072
2.6361815868296,1.071
2.63676164359528,1.068
2.63734170036096,1.067
2.63792175712665,1.062
2.63850181389233,1.06
2.63908187065801,1.06
2.6396619274237,1.058
2.64024198418938,1.055
2.64082204095506,1.052
2.64140209772075,1.05
2.64198215448643,1.049
2.64256221125212,1.046
2.6431422680178,1.046
2.64372232478348,1.044
2.64430238154917,1.041
2.64488243831485,1.04
2.64546249508053,1.038
2.64604255184622,1.035
2.6466226086119,1.034
2.64720266537758,1.032
2.64778272214327,1.031
2.64836277890895,1.029
2.64894283567463,1.027
2.64952289244032,1.025
2.650102949206,1.025
2.65068300597168,1.024
2.65126306273737,1.021
2.65184311950305,1.019
2.65242317626873,1.018
2.65300323303442,1.016
2.6535832898001,1.015
2.65416334656579,1.013
2.65474340333147,1.012
2.65532346009715,1.012
2.65590351686284,1.01
2.65648357362852,1.009
2.6570636303942,1.009
2.65764368715989,1.007
2.65822374392557,1.007
2.65880380069125,1.005
2.65938385745694,1.005
2.65996391422262,1.005
2.6605439709883,1.002
2.66112402775399,0.999
2.66170408451967,0.996
2.66228414128535,0.995
2.66286419805104,0.995
2.66344425481672,0.993
2.66402431158241,0.992
2.66460436834809,0.988
2.66518442511377,0.988
2.66576448187946,0.987
2.66634453864514,0.986
2.66692459541082,0.986
2.66750465217651,0.984
2.66808470894219,0.981
2.66866476570787,0.98
2.66924482247356,0.98
2.66982487923924,0.98
2.67040493600492,0.979
2.67098499277061,0.976
2.67156504953629,0.972
2.67214510630197,0.972
2.67272516306766,0.97
2.67330521983334,0.969
2.67388527659902,0.969
2.67446533336471,0.969
2.67504539013039,0.968
2.67562544689608,0.967
2.67620550366176,0.967
2.67678556042744,0.964
2.67736561719313,0.962
2.67794567395881,0.96
2.67852573072449,0.96
2.67910578749018,0.957
2.67968584425586,0.956
2.68026590102154,0.953
2.68084595778723,0.952
2.68142601455291,0.952
2.68200607131859,0.95
2.68258612808428,0.948
2.68316618484996,0.946
2.68374624161564,0.943
2.68432629838133,0.942
2.68490635514701,0.94
2.6854864119127,0.94
2.68606646867838,0.94
2.68664652544406,0.938
2.68722658220975,0.937
2.68780663897543,0.934
2.68838669574111,0.932
2.6889667525068,0.93
2.68954680927248,0.927
2.69012686603816,0.927
2.69070692280385,0.924
2.69128697956953,0.92
2.69186703633521,0.919
2.6924470931009,0.919
2.69302714986658,0.919
2.69360720663226,0.915
2.69418726339795,0.914
2.69476732016363,0.914
2.69534737692931,0.913
2.695927433695,0.909
2.69650749046068,0.907
2.69708754722637,0.904
2.69766760399205,0.901
2.69824766075773,0.899
2.69882771752342,0.897
2.6994077742891,0.897
2.69998783105478,0.896
2.70056788782047,0.894
